,original_0,original_1,original_2,original_3,original_4,noisy_0,noisy_1,noisy_2,noisy_3,noisy_4,abs_diff_between_act_mean,abs_diff_between_act_median
9 (22).jpg,31,6,4,3,1,4,1,1,0,1,0.8913453817367554,0.2175450623035431
5 (45).jpg,14,6,16,0,2,2,1,8,0,1,0.9173114895820618,0.15679796040058136
7 (250).jpg,12,5,12,8,13,6,4,18,6,10,0.898759126663208,0.26876258850097656
7 (197).jpg,26,3,15,6,12,7,3,29,3,15,0.8698825836181641,0.1795458048582077
7 (128).jpg,26,6,20,15,15,8,3,13,6,4,0.8921377658843994,0.23763525485992432
4 (17).jpg,8,2,18,0,0,2,1,7,1,0,0.9184084534645081,0.1766977608203888
8 (58).jpg,13,5,28,0,3,4,2,3,0,4,0.8626317381858826,0.16268426179885864
8 (28).jpg,16,4,19,4,4,4,3,8,0,1,0.8457430005073547,0.15600141882896423
3 (23).jpg,18,3,2,2,0,2,3,7,1,0,0.8963381052017212,0.16588947176933289
12 (10).jpg,3,25,4,0,2,0,7,2,0,0,0.857624351978302,0.14629176259040833
4 (100).jpg,16,9,9,5,5,5,4,0,1,0,0.9287970066070557,0.22226202487945557
4 (44).jpg,7,4,20,3,1,2,4,4,0,0,0.9116254448890686,0.14924770593643188
4 (57).jpg,2,6,21,0,5,3,6,5,1,1,0.9541903734207153,0.2152218371629715
12 (5).jpg,7,19,4,0,4,3,0,5,0,0,0.876404345035553,0.1279332935810089
7 (170).jpg,26,10,14,10,15,7,2,22,4,11,0.8436641693115234,0.16914570331573486
7 (164).jpg,41,6,21,9,17,9,4,31,6,13,0.8481481671333313,0.16792169213294983
7 (89).jpg,60,8,18,26,10,13,1,8,6,1,0.9287226796150208,0.27605125308036804
8 (94).jpg,3,1,9,0,0,3,3,1,1,0,0.8878656029701233,0.14944875240325928
5 (23).jpg,14,6,8,3,2,5,7,4,1,1,0.9408427476882935,0.27501845359802246
9 (5).jpg,28,13,10,2,4,3,2,1,1,1,0.8593046069145203,0.1704695224761963
11 (19).jpg,19,17,16,2,5,5,4,4,0,2,0.8954631090164185,0.2086401879787445
4 (11).jpg,18,2,12,5,0,2,2,6,0,0,0.9068545699119568,0.16391900181770325
9 (19).jpg,19,20,11,1,3,6,3,4,0,1,0.8705061078071594,0.18070107698440552
6 (101).jpg,14,2,8,2,1,5,2,2,0,2,0.9378409385681152,0.2656180262565613
7 (262).jpg,18,3,9,5,16,6,5,13,4,20,0.8879127502441406,0.22241294384002686
4 (53).jpg,5,6,21,0,1,0,6,8,0,0,0.9124196767807007,0.18221944570541382
7 (61).jpg,46,3,12,21,9,4,1,8,1,1,0.9385125637054443,0.29657411575317383
1 (3).jpg,65,15,18,11,10,15,13,9,2,5,0.876717209815979,0.12113340198993683
5 (46).jpg,7,9,19,0,2,0,7,4,0,2,0.9029894471168518,0.1507483720779419
8 (41).jpg,27,15,20,6,8,13,1,5,4,1,0.8679648041725159,0.16147390007972717
4 (91).jpg,25,10,8,8,6,6,5,2,1,1,0.8804557919502258,0.15505513548851013
8 (54).jpg,18,7,21,3,3,3,2,2,0,2,0.8501808643341064,0.14975568652153015
3 (51).jpg,12,5,15,1,5,3,4,10,0,3,0.9727587103843689,0.23594611883163452
6 (110).jpg,3,3,5,0,0,4,4,0,0,0,0.8979727029800415,0.1782120168209076
7 (15).jpg,42,9,6,16,18,14,2,7,6,6,0.8925127387046814,0.20579564571380615
4 (6).jpg,20,2,13,5,1,3,1,13,1,3,0.9261347055435181,0.16580316424369812
9 (23).jpg,10,10,7,3,4,5,2,3,0,2,0.8955183625221252,0.2093064785003662
8 (97).jpg,10,4,15,2,4,6,2,6,0,1,0.8754792809486389,0.15458549559116364
1 (10).jpg,58,8,16,15,9,10,9,14,0,1,0.8806443214416504,0.1367153823375702
6 (58).jpg,2,4,7,0,0,1,3,3,0,2,0.908993661403656,0.21054774522781372
8 (19).jpg,12,2,16,2,5,7,4,3,0,4,0.8567027449607849,0.12960344552993774
11 (33).jpg,5,10,6,0,2,3,4,1,0,1,0.9061293601989746,0.18329784274101257
4 (105).jpg,20,9,6,5,4,8,4,4,1,2,0.9357203841209412,0.22889313101768494
7 (13).jpg,44,8,9,19,12,16,1,14,5,4,0.8723430037498474,0.1942436695098877
6 (27).jpg,2,0,6,0,0,4,6,0,0,1,0.884101152420044,0.1913081258535385
5 (203).jpg,20,9,13,5,14,9,8,6,0,3,0.9252528548240662,0.2358148694038391
12 (30).jpg,3,16,2,0,2,3,3,3,0,1,0.9563859701156616,0.21051067113876343
5 (206).jpg,31,13,5,7,1,9,9,1,0,1,0.8404703736305237,0.14137689769268036
3 (13).jpg,6,1,3,0,0,2,1,4,0,0,0.8698116540908813,0.15216507017612457
8 (14).jpg,8,4,25,3,5,5,6,1,0,1,0.8520996570587158,0.14432045817375183
12 (67).jpg,2,15,2,0,2,2,1,5,0,1,0.9870630502700806,0.26058727502822876
9 (10).jpg,22,14,9,2,3,5,6,0,1,0,0.8716362118721008,0.1681155562400818
4 (130).jpg,2,9,9,0,3,3,19,10,1,2,0.9295659065246582,0.21964013576507568
4 (135).jpg,0,6,11,0,2,0,9,10,0,2,0.9389722943305969,0.24911479651927948
8 (101).jpg,8,2,7,1,2,2,4,1,0,1,0.8751499056816101,0.17758896946907043
9 (42).jpg,13,14,13,1,2,3,6,2,0,1,0.8715167045593262,0.1688113808631897
4 (67).jpg,23,16,12,6,6,6,11,9,0,2,0.9313942193984985,0.3237490653991699
8 (91).jpg,6,6,22,2,7,5,2,8,0,1,0.858188807964325,0.14797115325927734
7 (240).jpg,14,4,9,13,12,8,1,14,7,6,0.9161927700042725,0.20785510540008545
5 (152).jpg,18,16,18,0,4,1,15,4,0,3,0.8624618649482727,0.1540343165397644
5 (132).jpg,10,7,11,1,7,4,8,8,0,8,0.8765392303466797,0.152099609375
6 (35).jpg,3,4,12,0,3,4,2,0,0,1,0.927051842212677,0.24585607647895813
7 (149).jpg,38,9,16,19,18,9,6,16,7,10,0.9817010760307312,0.34682953357696533
7 (32).jpg,39,7,13,19,9,18,7,17,10,2,0.9145631194114685,0.26228803396224976
8 (72).jpg,15,3,23,2,5,5,1,4,3,1,0.8413739204406738,0.13843107223510742
